a1,a2,tau1,tau2
-1.44,1.09,56.30,740.83
-1.64,1.56,45.77,492.66
-1.72,1.70,45.29,339.94
-1.24,1.20,33.01,624.60
-227.83,227.93,119.85,121.15
-1.08,0.97,20.32,970.84
-1.42,1.38,44.96,313.47
-1.20,1.11,33.80,592.21
-1.36,1.36,49.87,403.70
-1.22,1.13,38.41,588.54
-144.19,144.27,117.00,115.08
-1.29,1.37,347.36,41.79
-1.20,1.31,341.75,37.02
-1.23,1.29,328.10,36.99
-1.21,1.31,371.92,34.84
-1.40,1.39,606.42,50.84
-1.32,1.33,594.40,40.59
-1.45,1.55,484.30,37.88
-1.54,1.57,490.47,49.50
-0.63,0.78,1448.13,19.97
